       1     614       1     159-1.18009 1.69603
       1     605       1     166-1.43779 1.69603
       1     644       1     162 -.32111 1.69603
       1     629       1     161 -.75060 1.69603
       1     643       1     157 -.34974 1.69603
       1     631       1     149 -.69334 1.69603
       2     671       0     171  .45198 -.00724
       2     662       0     171  .20366 -.00724
       2     612       0     154-1.23736 -.00724
       2     650       0     158 -.14931 -.00724
       2     686       0     164  .88147 -.00724
       2     658       0     151  .07975 -.00724
       2     618       0     168-1.06556 -.00724
       2     618       0     165-1.06556 -.00724
       2     634       0     170 -.60744 -.00724
       2     669       0     167  .39471 -.00724
       3     616       1     149-1.12283 1.46840
       3     596       1     171-1.69548 1.46840
       3     634       1     161 -.60744 1.46840
       3     603       1     166-1.49505 1.46840
       3     676       1     160  .59514 1.46840
       3     608       1     153-1.35189 1.46840
       3     650       1     148 -.14931 1.46840
       3     711       1     156 1.59729 1.46840
       3     635       1     156 -.57880 1.46840
       3     583       1     149-2.06771 1.46840
       4     639       1     159 -.46427 3.39644
       4     717       1     168 1.76908 3.39644
       4     630       1     167 -.72197 3.39644
       4     651       1     164 -.12068 3.39644
       4     671       1     167  .45198 3.39644
       4     673       1     155  .50924 3.39644
       4     643       1     152 -.34974 3.39644
       4     663       1     157  .22291 3.39644
       4     716       1     155 1.74045 3.39644
       4     711       1     159 1.59729 3.39644
       5     693       1     171 1.08190 1.09335
       5     669       1     161  .39471 1.09335
       5     684       1     167  .82420 1.09335
       5     636       1     162 -.55017 1.09335
       5     682       1     164  .76694 1.09335
       5     698       1     171 1.22506 1.09335
       5     702       1     151 1.33959 1.09335
       5     610       1     170-1.29542 1.09335
       5     728       1     160 2.08405 1.09335
       5     678       1     167  .65241 1.09335
       6     644       1     169 -.32111 1.66712
       6     716       1     148 1.74045 1.66712
       6     695       1     164 1.13916 1.66712
       6     619       1     171-1.03693 1.66712
       6     625       1     161 -.86513 1.66712
       6     606       1     153-1.40915 1.66712
       6     654       1     169 -.02456 1.66712
       6     639       1     154 -.46427 1.66712
       6     645       1     148 -.29248 1.66712
       6     673       1     156  .50924 1.66712
       7     651       1     164 -.12068  .55066
       7     619       1     165-1.03693  .55066
       7     705       1     168 1.42549  .55066
       7     651       1     170 -.12068  .55066
       7     728       1     163 2.09484  .55066
       7     667       1     165  .33745  .55066
       7     694       1     148 1.11053  .55066
       7     686       1     162  .88147  .55066
       7     671       1     166  .45198  .55066
       7     711       1     158 1.59729  .55066
       8     698       0     163 1.22506 -.44171
       8     660       0     170  .13702 -.44171
       8     678       0     162  .65133 -.44171
       8     703       0     167 1.36823 -.44171
       8     669       0     162  .39471 -.44171
       8     716       0     156 1.74045 -.44171
       8     591       0     155-1.84762 -.44171
       8     673       0     156  .50924 -.44171
       8     612       0     154-1.23736 -.44171
       8     716       0     153 1.74045 -.44171
       9     711       1     154 1.59729  .56483
       9     698       1     171 1.22506  .56483
       9     637       1     162 -.52154  .56483
       9     691       1     168 1.02463  .56483
       9     676       1     167  .59514  .56483
       9     651       1     160 -.12068  .56483
       9     714       1     164 1.68319  .56483
       9     673       1     159  .50924  .56483
       9     682       1     158  .76694  .56483
       9     623       1     155 -.92240  .56483
      10     585       0     157-2.01044 -.25710
      10     614       0     169-1.18009 -.25710
      10     651       0     170 -.12068 -.25710
      10     614       0     169-1.19397 -.25710
      10     703       0     167 1.36823 -.25710
      10     764       0     171 3.11483 -.25710
      10     680       0     164  .70967 -.25710
      10     629       0     165 -.75060 -.25710
      10     679       0     164  .68372 -.25710
      10     614       0     162-1.18009 -.25710
      11     614       0     152-1.18009-1.76865
      11     658       0     163  .07975-1.76865
      11     623       0     161 -.92240-1.76865
      11     612       0     164-1.23736-1.76865
      11     639       0     158 -.46427-1.76865
      11     656       0     158  .02248-1.76865
      11     602       0     149-1.53170-1.76865
      11     691       0     151 1.02463-1.76865
      11     706       0     154 1.45412-1.76865
      11     637       0     159 -.52154-1.76865
      12     674       0     164  .53787-1.44815
      12     630       0     162 -.72197-1.44815
      12     650       0     167 -.14931-1.44815
      12     606       0     154-1.40915-1.44815
      12     663       0     154  .22291-1.44815
      12     653       0     161 -.06341-1.44815
      12     666       0     155  .30881-1.44815
      12     621       0     159 -.97966-1.44815
      12     711       0     166 1.59729-1.44815
      12     623       0     150 -.92240-1.44815
      13     639       1     154 -.46427  .50498
      13     619       1     169-1.03693  .50498
      13     700       1     166 1.28233  .50498
      13     695       1     166 1.13916  .50498
      13     630       1     164 -.72197  .50498
      13     727       1     151 2.05541  .50498
      13     625       1     149 -.86513  .50498
      13     612       1     149-1.23736  .50498
      13     652       1     155 -.09205  .50498
      13     612       1     149-1.23736  .50498
      14     639       0     160 -.46427 -.25541
      14     605       0     167-1.43779 -.25541
      14     585       0     152-2.01044 -.25541
      14     612       0     150-1.23736 -.25541
      14     695       0     160 1.13916 -.25541
      14     647       0     157 -.23521 -.25541
      14     614       0     168-1.18009 -.25541
      14     645       0     150 -.29248 -.25541
      14     610       0     155-1.29462 -.25541
      14     660       0     169  .13702 -.25541
      15     643       0     154 -.34974 -.60463
      15     625       0     164 -.86513 -.60463
